0.000000	302.641015	308.453020
500.000000	301.414936	304.161056
1000.000000	300.052387	299.426643
1500.000000	299.219994	296.552620
2000.000000	297.945706	292.179701
2500.000000	297.839665	291.817268
3000.000000	296.395461	286.903579
3500.000000	295.957622	285.422136
4000.000000	294.836952	281.647781
4500.000000	294.042834	278.988442
5000.000000	293.178223	276.107374
5500.000000	292.128172	272.628489
6000.000000	291.417320	270.285908
6500.000000	290.846195	268.411115
7000.000000	289.566794	264.234983
7500.000000	288.568096	260.997853
