id,title,release_year,genre,runtime,budget,revenue
120,The Lord of the Rings: The Fellowship of the Ring,2001,Adventure,178,113657368,1064918658
121,The Lord of the Rings: The Two Towers,2002,Adventure,179,94306086,1105753664
122,The Lord of the Rings: The Return of the King,2003,Adventure,201,110142192,1311030690
