id,title,release_year,genre,runtime,budget,revenue
671,Harry Potter and the Philosopher's Stone,2001,Adventure,152,152162486,1188663577
672,Harry Potter and the Chamber of Secrets,2002,Adventure,161,119111418,1044236078
673,Harry Potter and the Prisoner of Azkaban,2004,Adventure,141,148457800,901943435
674,Harry Potter and the Goblet of Fire,2005,Adventure,157,163928897,979115647
675,Harry Potter and the Order of the Phoenix,2007,Adventure,138,155469350,972422163
767,Harry Potter and the Half-Blood Prince,2009,Adventure,153,250694215,936552673
12444,Harry Potter and the Deathly Hallows: Part 1,2010,Adventure,146,246842866,942254381
12445,Harry Potter and the Deathly Hallows: Part 2,2011,Family,130,119482056,1282759351
